X,Y,id,left_fm,right_fm,min_offset,strat_offset
613757.838103025,7466476.467319815,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
613943.1002055099,7466403.50549289,Fault_6825,Boongal_Formation,Fortescue_Group,1199.5,003
614170.080510655,7466314.109787845,Fault_6825,Boongal_Formation,Fortescue_Group,1199.5,003
614453.90878592,7466202.31785219,Fault_6825,Boongal_Formation,Fortescue_Group,1199.5,003
615125.81552749,7465959.101305395,Fault_6825,Boongal_Formation,Boongal_Formation,0.0,000
615890.51585547,7465692.355761285,Fault_6825,Pyradie_Formation,Boongal_Formation,0.0,001
616282.5950023299,7465558.10501611,Fault_6825,Pyradie_Formation,Fortescue_Group,706.0,002
616448.0387017049,7465501.599937851,Fault_6825,Bunjinah_Formation,Fortescue_Group,0.0,001
616599.232298885,7465468.282487474,Fault_6825,Bunjinah_Formation,Fortescue_Group,0.0,001
616899.12934557,7465411.27916402,Fault_6825,Bunjinah_Formation,Fortescue_Group,0.0,001
617209.5307114599,7465350.67518021,Fault_6825,Bunjinah_Formation,Boongal_Formation,493.5,002
617435.75506596,7465304.92456359,Fault_6825,Bunjinah_Formation,Boongal_Formation,493.5,002
617754.605935685,7465236.09142014,Fault_6825,Bunjinah_Formation,Fortescue_Group,0.0,001
618089.3311220349,7465162.08035733,Fault_6825,Bunjinah_Formation,Pyradie_Formation,0.0,001
618389.8754168099,7465071.55452804,Fault_6825,Bunjinah_Formation,Pyradie_Formation,0.0,001
618780.37730852,7464935.768890885,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
620372.789031285,7464744.1458730195,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
622340.016326605,7464501.017130295,Fault_6825,Bunjinah_Formation,Bunjinah_Formation,0.0,000
623375.308941165,7464224.755889395,Fault_6825,Jeerinah_Formation,Bunjinah_Formation,620.0,002
624073.878987665,7464030.0297991,Fault_6825,Fortescue_Group,Bunjinah_Formation,0.0,001
624728.205516435,7463889.803533265,Fault_6825,Fortescue_Group,Jeerinah_Formation,0.0,001
625658.6104184249,7463643.079194655,Fault_6825,Fortescue_Group,Fortescue_Group,0.0,000
626705.289154585,7463345.539128175,Fault_6825,Fortescue_Group,Jeerinah_Formation,0.0,001
627400.675159425,7463147.554860225,Fault_6825,Fortescue_Group,Jeerinah_Formation,0.0,001
627843.3754979151,7463023.870545875,Fault_6825,Jeerinah_Formation,Fortescue_Group,0.0,001
628630.872168745,7462800.09050568,Fault_6825,Jeerinah_Formation,Jeerinah_Formation,0.0,000
629329.37701819,7462620.550858431,Fault_6825,Jeerinah_Formation,Jeerinah_Formation,0.0,000
629857.4702734749,7462571.770545825,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
630602.1806832,7462525.224899691,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
631320.3241158901,7462468.1799025405,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
