index,X,Y,Z,formation
102,569424.9664208817,7496667.702758336,636.0,Marra_Mamba_Iron_Formation
103,570309.48096139,7496637.94880311,643.0,Marra_Mamba_Iron_Formation
104,570923.9368536506,7496524.768003793,648.0,Marra_Mamba_Iron_Formation
105,577150.3117543029,7493683.127564752,706.0,Marra_Mamba_Iron_Formation
106,577059.15257738,7492914.54962658,687.0,Marra_Mamba_Iron_Formation
107,578440.81061822,7491946.058212799,728.0,Marra_Mamba_Iron_Formation
108,580054.5893053,7490289.05815855,734.0,Marra_Mamba_Iron_Formation
109,580834.61879629,7488490.05027271,829.0,Marra_Mamba_Iron_Formation
110,581927.60038747,7486988.02956663,790.0,Marra_Mamba_Iron_Formation
111,581828.2196023903,7486706.762966558,765.0,Marra_Mamba_Iron_Formation
112,540641.6695196998,7490347.328202824,544.0,Marra_Mamba_Iron_Formation
113,541209.80132492,7491327.14014326,556.0,Marra_Mamba_Iron_Formation
114,542193.2098362639,7491645.813711182,542.0,Marra_Mamba_Iron_Formation
115,542269.8724882646,7491462.614803348,565.0,Marra_Mamba_Iron_Formation
116,542804.31984395,7492292.15781108,533.0,Marra_Mamba_Iron_Formation
117,543201.8245768951,7492628.332607183,541.0,Marra_Mamba_Iron_Formation
118,543227.1873759672,7492635.465655599,541.0,Marra_Mamba_Iron_Formation
119,544142.17965374,7492794.15959313,604.0,Marra_Mamba_Iron_Formation
120,544793.19850715,7493287.14833365,555.0,Marra_Mamba_Iron_Formation
121,545620.52015943,7493403.16141447,562.0,Marra_Mamba_Iron_Formation
122,548296.97932552,7493223.17833969,543.0,Marra_Mamba_Iron_Formation
123,550106.16097673,7493881.70126101,551.0,Marra_Mamba_Iron_Formation
124,551988.98268163,7493979.71833482,574.0,Marra_Mamba_Iron_Formation
125,555105.05006037,7493956.76166819,598.0,Marra_Mamba_Iron_Formation
126,556356.6152309492,7494572.495683855,590.0,Marra_Mamba_Iron_Formation
127,556372.3980385035,7494584.858941816,590.0,Marra_Mamba_Iron_Formation
128,557693.34995188,7495291.7812338,609.0,Marra_Mamba_Iron_Formation
129,558051.7831760753,7495858.912641286,636.0,Marra_Mamba_Iron_Formation
130,558259.3408663943,7495813.517887607,636.0,Marra_Mamba_Iron_Formation
131,558371.6879997,7496179.27097748,636.0,Marra_Mamba_Iron_Formation
132,558318.8949644172,7496557.5924512185,626.0,Marra_Mamba_Iron_Formation
133,560751.7844007524,7496250.42542021,627.0,Marra_Mamba_Iron_Formation
134,561025.31877665,7496546.779846901,640.0,Marra_Mamba_Iron_Formation
135,562802.63152632,7497179.79223709,594.0,Marra_Mamba_Iron_Formation
136,565417.09871544,7497324.8395578,616.0,Marra_Mamba_Iron_Formation
137,568118.23922686,7496985.89053057,632.0,Marra_Mamba_Iron_Formation
138,568836.37884938,7496886.41094589,643.0,Marra_Mamba_Iron_Formation
139,577425.9521243776,7425643.281305322,492.0,Marra_Mamba_Iron_Formation
140,578066.5480297225,7426015.773022663,609.0,Marra_Mamba_Iron_Formation
141,578149.7720309381,7425919.325786293,609.0,Marra_Mamba_Iron_Formation
142,578390.86021071,7426116.94003888,475.0,Marra_Mamba_Iron_Formation
143,578870.2420809688,7426480.203184943,550.0,Marra_Mamba_Iron_Formation
144,578951.3012367915,7426390.120067667,550.0,Marra_Mamba_Iron_Formation
145,579942.5593207,7426765.96026389,480.0,Marra_Mamba_Iron_Formation
146,580974.49593494,7427911.94403434,538.0,Marra_Mamba_Iron_Formation
147,581198.36843629,7428332.44382557,481.0,Marra_Mamba_Iron_Formation
148,581742.97325603,7428434.72392494,498.0,Marra_Mamba_Iron_Formation
149,582560.75929954,7429709.0706853,533.0,Marra_Mamba_Iron_Formation
150,584001.44194587,7431423.12822279,656.0,Marra_Mamba_Iron_Formation
151,584809.7377474,7432400.67042951,547.0,Marra_Mamba_Iron_Formation
152,586601.59853107,7432982.72961683,491.0,Marra_Mamba_Iron_Formation
153,587062.02955667,7433436.25890705,504.0,Marra_Mamba_Iron_Formation
154,587127.55784331,7434748.78938563,514.0,Marra_Mamba_Iron_Formation
155,586610.76262829,7435924.27873741,532.0,Marra_Mamba_Iron_Formation
156,585098.01047134,7438043.75881359,500.0,Marra_Mamba_Iron_Formation
157,585100.61978821,7438564.76986001,479.0,Marra_Mamba_Iron_Formation
158,585217.06954911,7438699.27935635,479.0,Marra_Mamba_Iron_Formation
159,585833.75047531,7439108.80117453,504.0,Marra_Mamba_Iron_Formation
160,589822.47978261,7439876.92704751,697.0,Marra_Mamba_Iron_Formation
161,593262.98872477,7439954.01281619,640.0,Marra_Mamba_Iron_Formation
162,596530.15318838,7439931.45035367,576.0,Marra_Mamba_Iron_Formation
163,599240.13894835,7440974.00849268,593.0,Marra_Mamba_Iron_Formation
164,602388.22341408,7441954.07596276,577.0,Marra_Mamba_Iron_Formation
165,605906.21035398,7443224.72805291,517.0,Marra_Mamba_Iron_Formation
166,609034.26888971,7444358.21804621,475.0,Marra_Mamba_Iron_Formation
167,610215.48942543,7444919.21011255,532.0,Marra_Mamba_Iron_Formation
168,612215.84680727,7445444.88671967,523.0,Marra_Mamba_Iron_Formation
169,613958.95105226,7445946.49986163,532.0,Marra_Mamba_Iron_Formation
170,614407.2214547882,7446215.684479145,547.0,Marra_Mamba_Iron_Formation
171,614584.1396219857,7446167.519694012,547.0,Marra_Mamba_Iron_Formation
172,615176.70824807,7447347.09009457,555.0,Marra_Mamba_Iron_Formation
173,616155.41076092,7448987.14903208,557.0,Marra_Mamba_Iron_Formation
174,616605.08157818,7450759.65790638,545.0,Marra_Mamba_Iron_Formation
175,618007.01886903,7452056.24081154,552.0,Marra_Mamba_Iron_Formation
176,619342.2319831087,7452073.047594705,586.0,Marra_Mamba_Iron_Formation
177,621179.13799805,7453418.68053013,601.0,Marra_Mamba_Iron_Formation
178,621695.64078635,7454594.17940792,642.0,Marra_Mamba_Iron_Formation
179,622904.47135548,7456901.69056925,612.0,Marra_Mamba_Iron_Formation
180,517277.60230825,7461663.60189233,409.0,Marra_Mamba_Iron_Formation
181,517067.0507482472,7461634.757182008,409.0,Marra_Mamba_Iron_Formation
182,520304.9605324739,7461472.4263451025,473.0,Marra_Mamba_Iron_Formation
183,520075.07998161,7461514.60070449,394.0,Marra_Mamba_Iron_Formation
184,518606.88112133,7461688.11196326,479.0,Marra_Mamba_Iron_Formation
185,517633.85984782,7461693.60083685,409.0,Marra_Mamba_Iron_Formation
186,644270.745067956,7473778.256977527,773.0,Marra_Mamba_Iron_Formation
187,642726.51094649,7474508.18999623,815.0,Marra_Mamba_Iron_Formation
188,641124.17220903,7475835.70026302,767.0,Marra_Mamba_Iron_Formation
189,637846.97865326,7478157.18177225,757.0,Marra_Mamba_Iron_Formation
190,636253.31110005,7478539.69782478,742.0,Marra_Mamba_Iron_Formation
191,634813.48903047,7478866.19075502,802.0,Marra_Mamba_Iron_Formation
192,631691.87118492,7480383.77103681,706.0,Marra_Mamba_Iron_Formation
193,629635.60921043,7481388.31999171,719.0,Marra_Mamba_Iron_Formation
194,629301.17023253,7481937.31858294,729.0,Marra_Mamba_Iron_Formation
195,629498.15904894,7483044.31962077,726.0,Marra_Mamba_Iron_Formation
196,629840.22091551,7485342.839210601,686.0,Marra_Mamba_Iron_Formation
197,629625.61054478,7486335.86141761,689.0,Marra_Mamba_Iron_Formation
198,628989.41231343,7487001.38014527,689.0,Marra_Mamba_Iron_Formation
199,627528.22037564,7487866.90181406,698.0,Marra_Mamba_Iron_Formation
200,625465.43069898,7488291.41049139,701.0,Marra_Mamba_Iron_Formation
201,623873.09003631,7489184.39122442,695.0,Marra_Mamba_Iron_Formation
202,624129.94959847,7489704.91142191,723.0,Marra_Mamba_Iron_Formation
203,623782.87068822,7490279.920664701,792.0,Marra_Mamba_Iron_Formation
204,622601.6708066999,7491959.98871891,729.0,Marra_Mamba_Iron_Formation
205,619720.98987562,7493344.57049839,767.0,Marra_Mamba_Iron_Formation
206,616227.18096516,7494165.14018083,804.0,Marra_Mamba_Iron_Formation
207,614282.66993676,7494275.67882695,778.0,Marra_Mamba_Iron_Formation
208,611984.03127863,7495091.24926546,733.0,Marra_Mamba_Iron_Formation
209,608100.42975318,7496218.82916607,808.0,Marra_Mamba_Iron_Formation
210,607102.68165173,7496724.80821129,731.0,Marra_Mamba_Iron_Formation
211,605581.8494027,7497827.30786396,743.0,Marra_Mamba_Iron_Formation
212,603811.54861231,7499962.33173354,712.0,Marra_Mamba_Iron_Formation
213,602454.15887181,7501221.35169317,720.0,Marra_Mamba_Iron_Formation
214,600458.30116008,7502172.389703099,735.0,Marra_Mamba_Iron_Formation
215,599579.77864354,7502720.4019571,727.0,Marra_Mamba_Iron_Formation
216,599164.66957747,7503374.90990164,706.0,Marra_Mamba_Iron_Formation
217,598959.48040729,7504508.44073408,743.0,Marra_Mamba_Iron_Formation
218,598231.88774811,7505334.96021535,727.0,Marra_Mamba_Iron_Formation
219,597622.21128547,7506106.4916072,698.0,Marra_Mamba_Iron_Formation
220,596712.73825953,7506528.0184554,704.0,Marra_Mamba_Iron_Formation
221,596398.67760668,7506928.03010482,694.0,Marra_Mamba_Iron_Formation
222,596511.06036624,7507290.53847739,713.0,Marra_Mamba_Iron_Formation
223,597158.35169413,7507762.04169457,691.0,Marra_Mamba_Iron_Formation
224,598103.24104974,7507977.51972488,697.0,Marra_Mamba_Iron_Formation
225,598814.1705271,7507739.50188075,706.0,Marra_Mamba_Iron_Formation
226,599130.03807278,7507799.49952838,706.0,Marra_Mamba_Iron_Formation
227,598839.00158503,7508302.00835683,706.0,Marra_Mamba_Iron_Formation
228,597938.20896279,7509023.06833676,680.0,Marra_Mamba_Iron_Formation
229,597799.21193375,7509173.06733353,680.0,Marra_Mamba_Iron_Formation
230,624617.541459532,7456896.02259666,659.0,Marra_Mamba_Iron_Formation
231,625937.58690463,7459482.10905927,729.0,Marra_Mamba_Iron_Formation
232,627317.23147592,7460747.62000041,697.0,Marra_Mamba_Iron_Formation
233,628809.85902925,7461694.07866047,679.0,Marra_Mamba_Iron_Formation
