X,Y,Z,azimuth,dip,polarity,formation
579958.1619539,7443851.29578744,497.0,260.0,25,1,Pyradie_Formation
551737.09127054,7442553.61604113,407.0,280.0,15,1,Hardey_Formation
567970.84546063,7445826.54284938,451.0,385.0,20,1,Hardey_Formation
562613.59447835,7506579.00298373,807.0,250.0,11,1,Bunjinah_Formation
609726.75053865,7439644.32136718,473.0,168.0,46,1,Woongarra_Rhyolite
589057.42581251,7445045.59937194,500.0,180.0,15,1,Bunjinah_Formation
542344.84155478,7481763.35785815,473.0,365.0,60,1,Hardey_Formation
620102.63906524,7481909.06406405,635.0,315.0,35,1,Boongal_Formation
597168.64767005,7451280.88103639,552.0,370.0,10,1,Boongal_Formation
552049.0524020001,7487780.78569838,564.0,390.0,80,1,Boolgeeda_Iron_Formation
530412.7798107,7460129.16260399,389.0,340.0,45,1,Jeerinah_Formation
610610.6542397,7455017.9896239,613.0,110.0,20,1,Pyradie_Formation
636247.98321311,7456142.699628,638.0,205.0,36,1,Boolgeeda_Iron_Formation
605034.75111904,7447257.92459145,506.0,150.0,5,1,Jeerinah_Formation
556317.56208142,7439051.88705465,405.0,205.0,30,1,Hardey_Formation
552523.57261044,7440520.96504853,397.0,300.0,10,1,Hardey_Formation
613937.23858328,7469808.54393476,582.0,200.0,46,1,Hardey_Formation
573193.4796351999,7483388.57808096,651.0,220.0,34,1,Brockman_Iron_Formation
545003.74120558,7476258.34758436,487.0,435.0,35,1,Hardey_Formation
606843.99505349,7482191.84070806,653.0,370.0,55,1,Bunjinah_Formation
528338.49918263,7469662.26179775,412.0,210.0,40,1,Hardey_Formation
562693.07063906,7502624.47603557,696.0,190.0,48,1,Bunjinah_Formation
556988.39635486,7447056.08613159,469.0,424.0,88,1,Hardey_Formation
551931.04165864,7434594.81868542,397.0,223.0,43,1,Marra_Mamba_Iron_Formation
569675.61505042,7445791.24340546,449.0,380.0,25,1,Hardey_Formation
571510.04844141,7452043.83879121,811.0,390.0,20,1,Bunjinah_Formation
572295.50233296,7422733.32756339,421.0,210.0,40,1,Mount_McGrath_Formation
560865.02732866,7437838.92931517,443.0,190.0,20,1,Mount_Roe_Basalt
540220.55285404,7464646.02147354,408.0,170.0,40,1,Pyradie_Formation
606985.97107988,7480045.18592005,622.0,370.0,50,1,Hardey_Formation
577119.18419025,7494244.85356429,706.0,220.0,5,1,Jeerinah_Formation
597709.41532465,7451999.897599701,581.0,200.0,10,1,Boongal_Formation
607183.09601976,7480338.29816001,629.0,375.0,55,1,Hardey_Formation
607114.93566062,7480281.20717592,629.0,360.0,20,1,Hardey_Formation
585404.62136915,7479920.62308609,708.0,350.0,60,1,Bunjinah_Formation
552075.59216311,7487793.53622728,564.0,390.0,28,1,Boolgeeda_Iron_Formation
556317.56208142,7439051.88705465,405.0,210.0,25,1,Hardey_Formation
577119.18419025,7494244.85356429,706.0,220.0,15,1,Jeerinah_Formation
563284.8887582,7449216.58905714,451.0,380.0,30,1,Hardey_Formation
573124.00705658,7482819.88891533,783.0,360.0,46,1,Brockman_Iron_Formation
570316.53496982,7450829.25454876,541.0,380.0,45,1,Pyradie_Formation
622914.79229553,7484293.64691992,656.0,350.0,20,1,Pyradie_Formation
585572.4842712,7480927.12485707,798.0,360.0,30,1,Jeerinah_Formation
592421.59193178,7448222.2943172,533.0,160.0,15,1,Hardey_Formation
589392.77842474,7444795.15606831,500.0,180.0,15,1,Bunjinah_Formation
560962.43721983,7437980.01614863,443.0,190.0,50,1,Mount_Roe_Basalt
606985.97107988,7480045.18592005,622.0,370.0,40,1,Hardey_Formation
546137.8575609,7494606.69912057,520.0,360.0,15,1,Jeerinah_Formation
637784.33051005,7427581.93908127,522.0,323.0,19,1,Beasley_River_Quartzite
540038.91207275,7506751.82918475,733.0,338.0,28,1,Brockman_Iron_Formation
615411.73324819,7431900.583745099,526.0,374.0,42,1,Cheela_Springs_Basalt
601194.26146237,7449421.44482787,517.0,160.0,20,1,Boongal_Formation
594311.65677389,7505993.11188353,696.0,435.0,12,1,Bunjinah_Formation
573413.40675327,7484069.46031742,748.0,350.0,64,1,Brockman_Iron_Formation
590940.86894353,7503563.49458872,753.0,440.0,9,1,Bunjinah_Formation
565426.35528619,7486024.39230945,608.0,375.0,35,1,Boolgeeda_Iron_Formation
512870.49381388,7470687.38073798,394.0,250.0,50,1,Brockman_Iron_Formation
552075.59216311,7487793.53622728,564.0,390.0,80,1,Boolgeeda_Iron_Formation
529706.63548648,7466440.48834783,516.0,180.0,60,1,Boongal_Formation
591889.31258386,7448539.11304897,508.0,160.0,20,1,Hardey_Formation
588670.15481578,7447183.01427003,525.0,200.0,45,1,Pyradie_Formation
608496.39350493,7462060.70713864,606.0,450.0,15,1,Hardey_Formation
553087.89226931,7484583.49215226,549.0,420.0,64,1,Marra_Mamba_Iron_Formation
