GROUP_,id,x,y,z,code
Milli Milli Inlier metagranitc unit,7366,605976.33073592,7472724.37859842,613.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,606168.73963573,7472070.36810669,590.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,606476.64028212,7471300.37175138,590.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,606784.45069111,7470723.35953844,590.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,606976.88881833,7470222.84823733,590.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,606822.98958802,7469915.34943671,590.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,606399.72933652,7469876.85233627,586.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,605961.42066319,7469920.85106271,585.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,605497.08940679,7469904.3521378,585.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,605007.42982934,7469919.85879421,585.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,604537.60970162,7470081.34750754,585.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,603953.79887454,7470338.87117205,585.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,603306.20968515,7470577.86114448,601.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,602474.45202494,7470849.86015519,601.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,601274.15844356,7471206.35113187,601.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,600422.58881694,7471331.84079453,601.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,599532.36023676,7471343.33817646,601.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,598870.97077605,7471334.33148348,609.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,598113.9608533,7471293.83059352,609.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,597465.35804882,7471297.31844575,609.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596740.50991136,7471332.81192912,609.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596022.37780852,7471432.31193761,609.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595450.58862669,7471556.30939742,632.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,594929.84060068,7471711.80208626,632.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,594523.66936967,7471892.29983132,632.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,594282.86045816,7472078.30055985,632.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,594252.80064806,7472428.29907258,632.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,594438.61228467,7472726.79905739,636.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,594687.73876967,7472954.31108208,636.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595031.6912969,7473067.32004361,636.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595388.05985319,7473122.32119209,636.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595744.7680108,7473247.82979411,636.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596063.64988073,7473424.33987667,653.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596236.30202874,7473633.34169235,653.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596275.76176099,7473906.86029634,653.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,596086.46808637,7474226.3481309,653.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595833.29066941,7474475.86045906,653.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595624.57910523,7474724.86887523,736.,Milli_Milli_Inlier_metagranitc_unit
Milli Milli Inlier metagranitc unit,7366,595536.42014654,7474910.38052461,649.,Milli_Milli_Inlier_metagranitc_unit
