X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
625934.267115035,7456831.462079307,Fault_8174,1686,122,182.19922058073186
627591.2536563997,7456741.032230808,Fault_8174,1304,132,182.19922058073186
628048.1775405183,7456702.621511705,Fault_8174,1311,97,182.19922058073186
630026.2763009906,7456319.947189613,Fault_8174,321,29,182.19922058073186
631847.4872912285,7456333.744987942,Fault_8174,25,3,182.19922058073186
634286.6787307849,7456220.860233198,Fault_8174,749,177,182.19922058073186
637096.7786771995,7455806.267311154,Fault_8174,-1696,1011,182.19922058073186
638029.1491537757,7455643.510993009,Fault_8174,-1585,690,182.19922058073186
633009.5188840679,7450205.439587606,Fault_8390,-674,328,177.06385990914498
627024.326250464,7450960.722165565,Fault_8390,2492,372,177.06385990914498
622956.1083574488,7451973.544679293,Fault_8390,3505,785,177.06385990914498
621176.182581291,7452054.033783834,Fault_8390,2327,479,177.06385990914498
620159.4416644803,7451978.293196104,Fault_8390,2588,425,177.06385990914498
619506.6118975226,7452026.139281108,Fault_8390,1959,300,177.06385990914498
618041.7727320379,7452208.8355480395,Fault_8390,1300,291,177.06385990914498
610641.1357656423,7451122.151265301,Fault_8390,2929,609,177.06385990914498
