WKT	geopnt_id	dip	azimuth2
POINT (539457.79580645 7469801.1613336)	24282	90	135.0
POINT (554851.4469657 7446076.68552223)	24298	15	215.0
POINT (637099.91999735 7459073.72052256)	24300	54	189.0
POINT (559729.28182154 7440943.22635014)	24307	20	210.0
POINT (572991.27872957 7437101.50839763)	24321	30	100.0
POINT (609730.20164204 7455854.06698703)	24322	25	130.0
POINT (583103.70447763 7491875.36363708)	24325	13	225.0
POINT (627660.03077313 7480700.37618819)	24327	15	425.0
POINT (619287.21542163 7480189.3698119)	24334	20	125.0
POINT (552049.0524019999 7487780.78569838)	24354	28	390.0
POINT (609260.7267147 7444381.0552039)	24365	46	140.0
POINT (588665.7933683 7480952.5614486)	24374	50	350.0
POINT (560811.98314299 7437658.02744589)	24391	30	190.0
POINT (583522.14935239 7470458.87070413)	24394	12	300.0
POINT (589173.03633512 7488679.28764451)	24402	14	230.0
POINT (538806.0275651501 7483993.09306394)	24427	63	370.0
POINT (584997.14914558 7422101.3324153)	24430	22	209.0
POINT (573148.5925258 7482595.03950715)	24444	44	385.0
POINT (579958.1619539 7443851.29578744)	24448	25	260.0
POINT (551737.09127054 7442553.61604113)	24469	15	280.0
POINT (567970.84546063 7445826.54284938)	24474	20	385.0
POINT (562613.59447835 7506579.00298373)	24475	11	250.0
POINT (562343.9646343 7440050.63450009)	24492	15	240.0
POINT (609726.75053865 7439644.32136718)	24508	46	168.0
POINT (589057.42581251 7445045.59937194)	24511	15	180.0
POINT (542344.84155478 7481763.35785815)	24523	60	365.0
POINT (620102.63906524 7481909.06406405)	24526	35	315.0
POINT (597168.64767005 7451280.88103639)	24537	10	370.0
POINT (552049.0524019999 7487780.78569838)	24546	80	390.0
POINT (530412.7798107 7460129.16260399)	24547	45	340.0
POINT (610610.6542396999 7455017.9896239)	24551	20	110.0
POINT (563288.92775144 7439117.37062003)	24573	55	190.0
POINT (636247.98321311 7456142.699628)	24578	36	205.0
POINT (605034.75111904 7447257.92459145)	24582	5	150.0
POINT (556317.56208142 7439051.88705465)	24589	30	205.0
POINT (552523.57261044 7440520.96504853)	24593	10	300.0
POINT (613937.23858328 7469808.54393476)	24599	46	200.0
POINT (573193.4796352 7483388.57808096)	24641	34	220.0
POINT (545003.74120558 7476258.34758436)	24646	35	435.0
POINT (604089.7803891 7477630.70712123)	24648	90	370.0
POINT (606843.99505349 7482191.84070806)	24674	55	370.0
POINT (528338.49918263 7469662.26179775)	24679	40	210.0
POINT (562693.07063906 7502624.47603557)	24683	48	190.0
POINT (556988.39635486 7447056.08613159)	24709	88	424.0
POINT (551931.04165864 7434594.81868542)	24717	43	223.0
POINT (569675.61505042 7445791.24340546)	24724	25	380.0
POINT (571510.0484414099 7452043.83879121)	24729	20	390.0
POINT (572295.50233296 7422733.32756339)	24734	40	210.0
POINT (560865.02732866 7437838.92931517)	24739	20	190.0
POINT (540220.5528540401 7464646.02147354)	24741	40	170.0
POINT (606985.97107988 7480045.18592005)	24742	50	370.0
POINT (577119.18419025 7494244.85356429)	24745	5	220.0
POINT (597709.41532465 7451999.8975997)	24778	10	200.0
POINT (607183.09601976 7480338.29816001)	24779	55	375.0
POINT (607114.93566062 7480281.20717592)	24782	20	360.0
POINT (585404.62136915 7479920.62308609)	24786	60	350.0
POINT (552075.59216311 7487793.53622728)	24787	28	390.0
POINT (556317.56208142 7439051.88705465)	24811	25	210.0
POINT (577119.18419025 7494244.85356429)	24820	15	220.0
POINT (534509.05712922 7483086.09249821)	24830	62	378.0
POINT (563284.8887582 7449216.58905714)	24834	30	380.0
POINT (573124.00705658 7482819.88891533)	24853	46	360.0
POINT (570316.5349698199 7450829.25454876)	24874	45	380.0
POINT (622914.79229553 7484293.64691992)	24882	20	350.0
POINT (556636.30911098 7433472.79606991)	24900	60	205.0
POINT (585572.4842712 7480927.12485707)	24903	30	360.0
POINT (592421.59193178 7448222.2943172)	24906	15	160.0
POINT (561159.23138234 7438143.27943147)	24907	84	132.0
POINT (589392.77842474 7444795.15606831)	24910	15	180.0
POINT (560962.43721983 7437980.01614863)	24920	50	190.0
POINT (606985.97107988 7480045.18592005)	24934	40	370.0
POINT (546137.8575609 7494606.69912057)	24936	15	360.0
POINT (606547.03350166 7481866.20970155)	24942	62	370.0
POINT (637784.3305100499 7427581.93908127)	24982	19	323.0
POINT (540038.91207275 7506751.82918475)	24990	28	338.0
POINT (584585.48480442 7469451.03884227)	25008	14	295.0
POINT (615411.73324819 7431900.5837451)	25011	42	374.0
POINT (601194.2614623701 7449421.44482787)	25012	20	160.0
POINT (594311.65677389 7505993.11188353)	25036	12	435.0
POINT (573413.40675327 7484069.46031742)	25041	64	350.0
POINT (590940.86894353 7503563.49458872)	25056	9	440.0
POINT (565426.3552861901 7486024.39230945)	25077	35	375.0
POINT (512870.49381388 7470687.38073798)	25079	50	250.0
POINT (552075.59216311 7487793.53622728)	25090	80	390.0
POINT (529706.63548648 7466440.48834783)	25118	60	180.0
POINT (570907.88402478 7451738.92828572)	25125	25	380.0
POINT (591889.31258386 7448539.11304897)	25131	20	160.0
POINT (588670.15481578 7447183.01427003)	25139	45	200.0
POINT (608496.39350493 7462060.70713864)	25153	15	450.0
POINT (566841.44492552 7439339.01153455)	25161	65	385.0
POINT (553087.89226931 7484583.49215226)	25164	64	420.0
POINT (619444.4364481301 7480598.90375344)	25185	28	140.0
POINT (625123.8195563901 7472841.37385935)	25208	10	250.0
POINT (619417.74165504 7480076.51720455)	25239	15	135.0
POINT (601121.388393 7448157.43624909)	25244	20	160.0
POINT (606947.91066648 7444582.79206365)	25269	30	150.0
POINT (628782.66506621 7481111.64845978)	25271	20	430.0
POINT (624281.24725261 7430784.92970134)	25281	47	358.0
POINT (627987.64006893 7480709.79896892)	25284	20	425.0
POINT (539933.7822252 7483374.35640366)	25289	60	385.0
POINT (574988.0622044 7432789.34459253)	25290	15	360.0
POINT (584769.57835179 7468620.79201136)	25321	25	305.0
POINT (628936.0899092 7482494.3870676)	25327	30	110.0
POINT (632936.8275407701 7421329.9094277)	25332	31	327.0
POINT (610935.91263776 7454774.88608074)	25341	15	140.0
POINT (570962.8796673201 7446241.53498865)	25343	25	380.0
POINT (573890.45046402 7481661.52767635)	25358	12	385.0
POINT (589403.25927445 7445708.92684407)	25367	15	140.0
POINT (576339.0744051 7490905.49448256)	25384	35	400.0
POINT (578424.93533865 7470531.55668519)	25394	42	260.0
POINT (582705.39191727 7453826.74771014)	25402	20	310.0
